,Choose your track,1- What is your current level expertise in computer programming?,2- How often do you code or work on tech related projects in your free time?,3- How often do you keep up with tech news and trends?,4- Were you willing to learn and work with programming languages?,"5-  Was your choice based on enjoying working with visual elements, such as layout and design?","7- Did you have interest in analyzing and studying user's behavior , needs and challenges?",8- Did you have a strong background in mathematics and enjoyed solving complex mathematical problems?,9-Did you enjoy working with data to solve real world problems?,10- Were you interested in data research and analysis?,11- Were you passionate about data analysis and deriving insights from data sets?,12- Did you have interest in using algorithms that can learn and improve from data?,13- Were you interested in server-side programming and building the backbone of applications?,14- Did you have interest in creating innovative and creative software?,15- Was you choice based on using mobile apps frequently and having ideas for new ones?,16- Were you concerned about the security of digital systems and data?,"17- Did you enjoy learning about encryption, firewalls and network protection",18- Did you enjoy creative problem-solving and design thinking?,6- Did you have interest creating responsive and interactive web pages
,Back-end,Intermediate,Weekly,Rarely,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No
,Cyber Security,Intermediate,Daily,Monthly,Yes,Yes,yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No
,Front-end,Beginner,Monthly,Monthly,Yes,Yes,yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes
,Back-end,Beginner,Daily,Weekly,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No
,Back-end,Beginner,Daily,Monthly,Yes,No,yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes
,Machine Learning,Intermediate,Monthly,Monthly,Yes,No,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
,Mobile applications,Intermediate,Daily,Daily,Yes,Yes,yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
,Machine Learning,Expert,Daily,Monthly,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
,Back-end,Intermediate,Weekly,Weekly,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
,UI/UX,Expert,Rarely,Never,No,Yes,yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes
,UI/UX,Intermediate,Weekly,Monthly,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Mobile applications,Beginner,Monthly,Monthly,Yes,Yes,yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No
,Back-end,Beginner,Weekly,Monthly,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes
,Mobile applications,Beginner,Weekly,Rarely,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes
,UI/UX,Expert,Rarely,Rarely,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Back-end,Expert,Daily,Rarely,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Mobile applications,Expert,Daily,Rarely,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Intermediate,Rarely,Rarely,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Intermediate,Daily,Monthly,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Expert,Daily,Never,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Beginner,Never,Weekly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,UI/UX,Intermediate,Daily,Monthly,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Back-end,Expert,Never,Weekly,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Mobile applications,Beginner,Daily,Weekly,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Intermediate,Daily,Daily,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Expert,Never,Monthly,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Intermediate,Weekly,Rarely,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Beginner,Never,Daily,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,UI/UX,Intermediate,Rarely,Weekly,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Back-end,Intermediate,Never,Never,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Mobile applications,Beginner,Daily,Weekly,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Expert,Daily,Rarely,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Expert,Daily,Never,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Intermediate,Weekly,Daily,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Beginner,Monthly,Rarely,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,UI/UX,Expert,Weekly,Daily,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Back-end,Intermediate,Monthly,Never,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Mobile applications,Intermediate,Monthly,Never,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Intermediate,Weekly,Weekly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Intermediate,Rarely,Daily,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Intermediate,Rarely,Rarely,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Intermediate,Daily,Never,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,UI/UX,Intermediate,Monthly,Never,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Back-end,Expert,Daily,Monthly,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Mobile applications,Intermediate,Monthly,Never,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Expert,Rarely,Never,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Expert,Never,Rarely,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Expert,Never,Rarely,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,UI/UX,Expert,Monthly,Weekly,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Back-end,Expert,Daily,Weekly,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Mobile applications,Intermediate,Daily,Rarely,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Mobile applications,Intermediate,Daily,Rarely,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Expert,Monthly,Never,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Beginner,Weekly,Rarely,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Intermediate,Weekly,Weekly,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Intermediate,Monthly,Daily,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,UI/UX,Beginner,Rarely,Weekly,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Back-end,Beginner,Never,Monthly,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Mobile applications,Beginner,Daily,Rarely,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Intermediate,Rarely,Never,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Beginner,Weekly,Never,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Beginner,Weekly,Monthly,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Beginner,Weekly,Daily,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,UI/UX,Intermediate,Never,Rarely,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Back-end,Expert,Daily,Daily,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Mobile applications,Intermediate,Rarely,Daily,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,UI/UX,Expert,Weekly,Weekly,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Back-end,Intermediate,Never,Monthly,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Mobile applications,Beginner,Rarely,Monthly,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Intermediate,Daily,Weekly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Beginner,Rarely,Never,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Expert,Monthly,Daily,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Intermediate,Monthly,Monthly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,UI/UX,Expert,Monthly,Weekly,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Back-end,Expert,Rarely,Never,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Mobile applications,Expert,Rarely,Never,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Expert,Rarely,Monthly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Intermediate,Rarely,Rarely,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Intermediate,Rarely,Rarely,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Expert,Rarely,Weekly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,UI/UX,Beginner,Monthly,Rarely,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Back-end,Beginner,Rarely,Monthly,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Mobile applications,Expert,Daily,Monthly,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Intermediate,Rarely,Weekly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Beginner,Rarely,Rarely,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Intermediate,Daily,Rarely,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Intermediate,Never,Weekly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,UI/UX,Intermediate,Never,Rarely,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Back-end,Expert,Monthly,Monthly,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Mobile applications,Expert,Never,Monthly,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Intermediate,Daily,Weekly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Expert,Daily,Rarely,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Expert,Never,Daily,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Beginner,Monthly,Monthly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,UI/UX,Expert,Daily,Rarely,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Back-end,Beginner,Weekly,Rarely,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Mobile applications,Expert,Never,Never,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Intermediate,Never,Monthly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Expert,Never,Rarely,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Expert,Never,Rarely,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Intermediate,Never,Never,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,UI/UX,Beginner,Weekly,Monthly,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Back-end,Expert,Daily,Monthly,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Mobile applications,Beginner,Daily,Never,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Intermediate,Daily,Rarely,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Expert,Rarely,Never,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Beginner,Weekly,Never,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Beginner,Monthly,Monthly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,UI/UX,Expert,Never,Monthly,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Back-end,Intermediate,Never,Daily,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Mobile applications,Expert,Never,Rarely,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Beginner,Daily,Rarely,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Beginner,Weekly,Daily,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Beginner,Never,Daily,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Beginner,Rarely,Never,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,UI/UX,Intermediate,Rarely,Weekly,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Back-end,Expert,Daily,Rarely,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Mobile applications,Expert,Weekly,Never,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Beginner,Rarely,Never,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Expert,Weekly,Rarely,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Expert,Monthly,Monthly,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Beginner,Weekly,Daily,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,UI/UX,Intermediate,Rarely,Rarely,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Back-end,Intermediate,Weekly,Monthly,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Mobile applications,Intermediate,Never,Daily,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Expert,Weekly,Monthly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Intermediate,Daily,Rarely,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Beginner,Daily,Daily,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Expert,Never,Daily,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,UI/UX,Beginner,Weekly,Monthly,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Back-end,Intermediate,Weekly,Rarely,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Mobile applications,Expert,Rarely,Daily,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Expert,Monthly,Monthly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Expert,Monthly,Rarely,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Beginner,Weekly,Monthly,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Expert,Daily,Never,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,UI/UX,Intermediate,Weekly,Rarely,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Back-end,Beginner,Monthly,Weekly,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Mobile applications,Expert,Weekly,Daily,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Beginner,Rarely,Weekly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Intermediate,Rarely,Weekly,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Intermediate,Never,Monthly,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Beginner,Never,Never,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,UI/UX,Expert,Daily,Monthly,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Back-end,Intermediate,Never,Monthly,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Mobile applications,Intermediate,Rarely,Daily,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Beginner,Daily,Weekly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Expert,Rarely,Never,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Intermediate,Never,Never,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Beginner,Monthly,Rarely,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,UI/UX,Expert,Daily,Monthly,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Back-end,Beginner,Monthly,Never,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Mobile applications,Expert,Daily,Monthly,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Intermediate,Weekly,Rarely,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Beginner,Weekly,Never,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Expert,Rarely,Never,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Intermediate,Monthly,Daily,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,UI/UX,Intermediate,Weekly,Weekly,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Back-end,Intermediate,Weekly,Rarely,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Mobile applications,Intermediate,Rarely,Monthly,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Intermediate,Monthly,Monthly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Intermediate,Daily,Never,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Intermediate,Rarely,Weekly,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Expert,Monthly,Daily,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,UI/UX,Expert,Weekly,Daily,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Back-end,Beginner,Monthly,Weekly,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Mobile applications,Intermediate,Never,Rarely,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Intermediate,Rarely,Rarely,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Intermediate,Daily,Daily,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Beginner,Daily,Weekly,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Beginner,Daily,Weekly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,UI/UX,Beginner,Rarely,Weekly,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Back-end,Intermediate,Rarely,Rarely,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Mobile applications,Beginner,Weekly,Weekly,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Expert,Rarely,Weekly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Beginner,Monthly,Monthly,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Beginner,Weekly,Daily,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Beginner,Weekly,Monthly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,UI/UX,Intermediate,Rarely,Rarely,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Back-end,Intermediate,Weekly,Daily,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Mobile applications,Intermediate,Daily,Daily,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Intermediate,Never,Weekly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Beginner,Never,Weekly,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Expert,Weekly,Rarely,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Expert,Never,Rarely,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,UI/UX,Intermediate,Rarely,Weekly,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Back-end,Intermediate,Monthly,Weekly,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Mobile applications,Expert,Rarely,Rarely,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Beginner,Monthly,Never,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Intermediate,Never,Daily,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Beginner,Rarely,Rarely,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Beginner,Weekly,Daily,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,UI/UX,Intermediate,Daily,Never,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Back-end,Beginner,Monthly,Daily,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Mobile applications,Intermediate,Monthly,Weekly,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Beginner,Daily,Rarely,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Intermediate,Rarely,Weekly,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Expert,Rarely,Never,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Intermediate,Weekly,Rarely,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,UI/UX,Intermediate,Monthly,Weekly,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Back-end,Intermediate,Daily,Monthly,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Mobile applications,Beginner,Weekly,Monthly,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Intermediate,Weekly,Rarely,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Expert,Weekly,Monthly,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Intermediate,Monthly,Daily,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Beginner,Rarely,Weekly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,UI/UX,Expert,Never,Weekly,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Back-end,Intermediate,Rarely,Weekly,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Mobile applications,Expert,Weekly,Daily,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Beginner,Monthly,Monthly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Expert,Daily,Weekly,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Intermediate,Rarely,Never,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Beginner,Daily,Rarely,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,UI/UX,Intermediate,Rarely,Never,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Back-end,Intermediate,Never,Weekly,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Mobile applications,Expert,Never,Daily,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Beginner,Rarely,Monthly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Beginner,Rarely,Rarely,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Expert,Monthly,Daily,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Expert,Daily,Never,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,UI/UX,Expert,Never,Never,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Back-end,Intermediate,Weekly,Weekly,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Mobile applications,Beginner,Never,Monthly,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Intermediate,Never,Daily,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Expert,Never,Daily,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
